Iterate,Exit_code,Out_time,partial_feeds,time_L,time_P,time_G
76,success,15.453308002616394,1,12.45469117166462,1.7219599313925609,1.276656899559212
77,success,44.68759829899467,1,42.445461992399615,1.8985981424339116,0.3435381641611457
78,fail,0.7051158603280783,0,0.7051158603280783,0,0
79,success,28.34307506062612,1,25.81180045601502,2.4304884509183466,0.10078615369275212
80,success,100.3387528206605,1,92.19393252216545,7.403278128823148,0.7415421696718953
81,fail,1.706726167183366,0,1.706726167183366,0,0
82,success,54.40181543415365,1,46.65160754358673,5.620719231455089,2.1294886591118285
83,success,30.86606020896472,1,29.34969888391681,0.8911258378066123,0.625235487241298
84,success,58.640147373899794,1,48.37351855653871,8.40071630177504,1.8659125155860428
85,success,108.3006234392094,1,104.31549969221568,1.835213212762028,2.149910534231692
86,fail,151.68962598789287,2,139.25076033085801,11.431836559948447,1.007029097086413
