iterate,lambda_Q,lambda_L,p_L,lambda_P,p_P,lambda_G,p_G,f,logLik
66,0.01103036281556681,0.031898513377244836,0.1547858939587139,0.048897168148760384,0.993364795370068,0.15404164432040554,0.9631731928892753,0.9969986311565351,-77377.85363938111
67,0.01123343174765457,0.032296786586752876,0.15353902949644788,0.049627957731597845,0.9947152035388631,0.15403693346706632,0.9659367558338758,0.9879219627427588,-77372.78899737175
68,0.011355440879846078,0.032182761345950855,0.15368162349658954,0.04900464235388689,0.9952948512111186,0.15675072769333004,0.9643159997126656,0.9999795263397325,-77371.82173940272
69,0.011448942288858408,0.03250841656463544,0.15332811780392827,0.047970190191352194,0.9966256505133643,0.16063726667356623,0.9595742869940829,0.9999999989720182,-77371.7645452751
70,0.011537886075361782,0.03252098493943085,0.15102293921890025,0.04832681953606157,0.9969750344613967,0.16471406886551232,0.9571083911292289,0.9971078431080034,-77367.75053745929
71,0.011655461777045961,0.032853593434133535,0.15142065035845387,0.04798930776257656,0.9964354171363069,0.16421649966950286,0.956231483270524,0.9999959133834201,-77367.30053655793
72,0.011811087864541726,0.03327073077629696,0.1486478935699946,0.047704614067832544,0.9969256749378619,0.16649113755014203,0.9578037895455551,0.9984521299717395,-77364.62892235832
73,0.011965700369688036,0.033984998431688146,0.14272461193177866,0.04812176983813921,0.9968251428209036,0.1688976543362166,0.95544530638482,0.9898455455048161,-77360.64455374918
74,0.012031425725211757,0.03395043581689283,0.1457795712895306,0.047772244313932566,0.998106836469943,0.17251690279315202,0.9546492787599044,0.9999999988379117,-77357.29721038672
78,0.012429638509767171,0.03480705048016002,0.1445414220775325,0.047033263271363326,0.9990069714884044,0.18523732482492164,0.9568995559733009,0.999998603017709,-77353.03797584624
76,0.012280068237344238,0.037222996033390104,0.13111967653157883,0.04794891789509592,0.9980133133458734,0.17881699700397913,0.9478923104081283,0.912241158714081,-77351.87175123811
77,0.012255800125014732,0.034799444021377635,0.14428150740617088,0.04753275035455982,0.9985984837465034,0.18314934390637652,0.9514636720777869,0.9999999884066596,-77349.48260180096
79,0.01248929482001726,0.03455532922079915,0.1414000894815854,0.046830662626843246,0.9991043192506046,0.1894529154211995,0.9491666477842116,0.9997817452172273,-77348.92328916812
80,0.012653387144756952,0.03480516196867547,0.14058840625030322,0.04653256709810196,0.9995334787144988,0.19036161180075964,0.9481896609045948,0.9999944374832419,-77348.1661718601
75,0.012116567019214616,0.03757769878656156,0.13149851103714674,0.04902648566396325,0.9982719466369041,0.18064996788700544,0.949799315529574,0.8979297752977639,-77347.68633495887
81,0.012772591095471759,0.035359423590168075,0.13776412359393878,0.047012903471824595,0.9999331933896709,0.19566035748701677,0.9513455752062658,0.9999995753388511,-77341.67843543488
82,0.012953460410766341,0.03599688895448906,0.13541768425400838,0.04802764051510038,0.9998692661358053,0.19868193013366892,0.9470032631338056,0.9999999212384646,-77334.46844141901
86,0.013485527940009586,0.03720381972700284,0.12984283737984387,0.04598269031168371,0.999276996877589,0.20667952077785492,0.9477427667135231,0.985761070030402,-77334.153287763
83,0.013110473938533906,0.03656937697467722,0.13708915048218948,0.04821308389514062,0.999825437932059,0.2004204339648964,0.9485352248502535,0.9964089918716614,-77333.49770265438
88,0.013760788018394863,0.03971812742270819,0.12050759919728198,0.04580907954337748,0.9996759243221267,0.2121634953441731,0.9462183856375709,0.9214009344762517,-77331.29859870746
