iterate,order,row_index,col_index,value,logLik
44,1,1,1,-0.059123913475336416,-3837.2241590850426
45,1,1,1,-0.059447897768084776,-3837.289007860295
46,1,1,1,-0.05696678878164429,-3837.5742043911214
47,1,1,1,-0.05719329576948398,-3837.4718994412883
48,1,1,1,-0.05889654093783379,-3837.1965602301566
49,1,1,1,-0.05945089862471733,-3837.289747840091
50,1,1,1,-0.05851793740336796,-3837.18373156118
51,1,1,1,-0.062472248348023805,-3839.285296706675
52,1,1,1,-0.05789843719572615,-3837.2532756164255
53,1,1,1,-0.06372147227976385,-3840.8074146197737
54,1,1,1,-0.058363875131834525,-3837.1904632056576
55,1,1,1,-0.0543438621232643,-3839.9438653221987
56,1,1,1,-0.05812834217842751,-3837.2142366383246
57,1,1,1,-0.05818749121317062,-3837.2067278185186
58,1,1,1,-0.06009742155589795,-3837.508154645082
59,1,1,1,-0.05861282135100518,-3837.1830369838017
60,1,1,1,-0.059480095975840516,-3837.297080554698
61,1,1,1,-0.058365136206484404,-3837.1903798693975
62,1,1,1,-0.057489040922043405,-3837.3619123424014
63,1,1,1,-0.05670040192491661,-3837.714761111026
64,1,1,1,-0.06239645431535059,-3839.2056529460183
65,1,1,1,-0.0597247336198501,-3837.3679644106987
66,1,1,1,-0.058678785666454014,-3837.1840988394715
67,1,1,1,-0.05785828276539292,-3837.2617079533698
68,1,1,1,-0.05977072442608631,-3837.3831680064995
69,1,1,1,-0.060588513851611576,-3837.7515335351086
70,1,1,1,-0.060103653890438376,-3837.510827265896
71,1,1,1,-0.058770398867987,-3837.1876692994238
72,1,1,1,-0.06040296286899982,-3837.6517971542803
73,1,1,1,-0.05801480214105565,-3837.231553474664
74,1,1,1,-0.05334898437737667,-3841.4404065165836
75,1,1,1,-0.05955426089906248,-3837.3167894175594
76,1,1,1,-0.05931614050645167,-3837.2590335733
77,1,1,1,-0.05584078371502101,-3838.31993213205
78,1,1,1,-0.05914182214754606,-3837.226962663778
79,1,1,1,-0.05805727380001341,-3837.224628205889
80,1,1,1,-0.057084551721699135,-3837.5190500235253
81,1,1,1,-0.05857654481422495,-3837.182992645598
82,1,1,1,-0.05716268680993712,-3837.4848050825913
83,1,1,1,-0.05617278664572177,-3838.058508343483
84,1,1,1,-0.05739785948410297,-3837.392987987201
85,1,1,1,-0.06156263719595031,-3838.427685548331
86,1,1,1,-0.060266374270446316,-3837.584405466051
87,1,1,1,-0.05726126661156551,-3837.4442646945604
88,1,1,1,-0.05872081434427649,-3837.1854346691503
89,1,1,1,-0.060827012790655194,-3837.8934973229548
90,1,1,1,-0.0588440294544557,-3837.192300591683
91,1,1,1,-0.06035038679857988,-3837.6252499675584
92,1,1,1,-0.061277787656197194,-3838.2037074409564
93,1,1,1,-0.05499388580675377,-3839.147883896879
94,1,1,1,-0.06177136179995925,-3838.6054090152215
95,1,1,1,-0.056611641752015336,-3837.7664870240596
96,1,1,1,-0.05764606029880442,-3837.3142898978126
97,1,1,1,-0.057435034147028524,-3837.38001420264
98,1,1,1,-0.058376378289349634,-3837.189657582046
99,1,1,1,-0.06047410581378813,-3837.6889252561473
100,1,1,1,-0.059568031063569574,-3837.3206195726443
101,1,1,1,-0.062139343482817466,-3838.946496671576
102,1,1,1,-0.05992403234158194,-3837.438119519782
103,1,1,1,-0.05941243870443823,-3837.28045704168
104,1,1,1,-0.0598699468074876,-3837.4179841977048
105,1,1,1,-0.05929970759338837,-3837.25564076431
106,1,1,1,-0.062217382823927726,-3839.0233537631843
107,1,1,1,-0.05802491430888212,-3837.2298560405893
108,1,1,1,-0.059268100015934064,-3837.2493308719877
109,1,1,1,-0.055013810767901954,-3839.1257088368807
110,1,1,1,-0.05773496751121628,-3837.2906176368133
111,1,1,1,-0.0625246519888882,-3839.341222918182
112,1,1,1,-0.06041823731522063,-3837.6596517522325
113,1,1,1,-0.059813002250319686,-3837.3976664804322
114,1,1,1,-0.05933176697224216,-3837.262331073863
115,1,1,1,-0.05868660237075055,-3837.1843084719826
116,1,1,1,-0.058722879862647334,-3837.1855135318665
117,1,1,1,-0.05694802527611255,-3837.583386528525
118,1,1,1,-0.0549326804733481,-3839.2168224207835
119,1,1,1,-0.056040530990886565,-3838.158438996706
120,1,1,1,-0.059290181928853276,-3837.2537092118187
121,1,1,1,-0.05735531717652337,-3837.4083497825945
122,1,1,1,-0.06087448977903697,-3837.9235961188997
123,1,1,1,-0.0599236291029602,-3837.437966383478
124,1,1,1,-0.05979289602451886,-3837.3907090400235
125,1,1,1,-0.05954749250692416,-3837.3149263931577
126,1,1,1,-0.06160187375283396,-3838.4602194508248
127,1,1,1,-0.05898422992850644,-3837.2054447883074
128,1,1,1,-0.061893276659440895,-3838.7145033620973
129,1,1,1,-0.057742591530266923,-3837.2886981777115
130,1,1,1,-0.061181437255324086,-3838.132827513453
131,1,1,1,-0.05823974786401333,-3837.2009537628505
132,1,1,1,-0.056497905730127695,-3837.836362069363
133,1,1,1,-0.058203795734823746,-3837.2048397665335
134,1,1,1,-0.058243267241680274,-3837.2005938446646
135,1,1,1,-0.06084840784845366,-3837.9069857086183
136,1,1,1,-0.05582746636914062,-3838.331153010974
137,1,1,1,-0.05737126529950846,-3837.4025265818573
138,1,1,1,-0.05612412612858738,-3838.0946296323805
139,1,1,1,-0.05958640104601381,-3837.3258123529563
140,1,1,1,-0.057054807002975154,-3837.5325785808645
141,1,1,1,-0.056618142443201964,-3837.762615345701
142,1,1,1,-0.05689662910267572,-3837.609093994149
143,1,1,1,-0.059945115080167206,-3837.446189085918
144,1,1,1,-0.06168227883552389,-3838.528156128954
145,1,1,1,-0.05831526441097612,-3837.194031617421
146,1,1,1,-0.05910367162334258,-3837.22110071033
147,1,1,1,-0.05908070374860725,-3837.2177725114525
148,1,1,1,-0.05857495939742778,-3837.18299945161
149,1,1,1,-0.05792404668937186,-3837.2481489275824
150,1,1,1,-0.060062611670210375,-3837.4934249197067
151,1,1,1,-0.05942365271247804,-3837.2831227650327
152,1,1,1,-0.055607349717114764,-3838.524881595649
153,1,1,1,-0.06066419706849685,-3837.7949105343064
154,1,1,1,-0.05784637638394478,-3837.2643008183154
155,1,1,1,-0.05831128812010809,-3837.1943542371055
156,1,1,1,-0.05823306321696735,-3837.2016474407774
157,1,1,1,-0.05951001525922771,-3837.3048445454624
158,1,1,1,-0.058265369097187825,-3837.1984169895154
159,1,1,1,-0.05923366294707763,-3837.242779868822
160,1,1,1,-0.05761420820204034,-3837.3233491414862
161,1,1,1,-0.0597565124216775,-3837.378406563492
162,1,1,1,-0.056947241703105396,-3837.5837723399222
163,1,1,1,-0.057553446089479,-3837.341478797291
164,1,1,1,-0.06152267147549093,-3838.39496464668
165,1,1,1,-0.058605769779954804,-3837.1829983570583
166,1,1,1,-0.05445010936653955,-3839.8040694783535
167,1,1,1,-0.05601791157534083,-3838.1760869425752
168,1,1,1,-0.05683226003103193,-3837.642441390923
169,1,1,1,-0.05959286390478461,-3837.327661861551
170,1,1,1,-0.05605754218440837,-3838.145273994187
171,1,1,1,-0.05949271057172961,-3837.300323179736
172,1,1,1,-0.05888566422222823,-3837.195612608773
173,1,1,1,-0.0592407998729879,-3837.2441097817014
174,1,1,1,-0.05870366073476705,-3837.1848275475977
175,1,1,1,-0.057319731575384586,-3837.4216220894887
176,1,1,1,-0.0608342948296967,-3837.898074356762
177,1,1,1,-0.06010666897800004,-3837.5121240894073
178,1,1,1,-0.05830319860698743,-3837.1950249402
179,1,1,1,-0.055395448975605006,-3838.7261805097833
180,1,1,1,-0.05713563777663285,-3837.496448391009
181,1,1,1,-0.06246457065012816,-3839.2771619831756
182,1,1,1,-0.0598390321663328,-3837.406841547763
183,1,1,1,-0.05699779161962199,-3837.559270480378
184,1,1,1,-0.05945020247122268,-3837.2895759489566
185,1,1,1,-0.05652124905597724,-3837.821690837175
186,1,1,1,-0.061733169707380284,-3838.5720337341486
187,1,1,1,-0.060271095778089166,-3837.586649441652
188,1,1,1,-0.056941947700499415,-3837.5863839329295
189,1,1,1,-0.05770373602080517,-3837.29866270187
190,1,1,1,-0.05957982530423079,-3837.323942614097
191,1,1,1,-0.0574708140953708,-3837.367922821212
192,1,1,1,-0.05817853234516136,-3837.207798669998
193,1,1,1,-0.05920641807378985,-3837.2378365094637
194,1,1,1,-0.056858405960601856,-3837.628741543114
195,1,1,1,-0.06124591018839239,-3838.1799828118437
196,1,1,1,-0.06041976872196142,-3837.6604427752122
197,1,1,1,-0.05700930291701375,-3837.5538008838603
198,1,1,1,-0.05956931063003256,-3837.3209781964656
199,1,1,1,-0.05966033020733112,-3837.3476707893637
200,1,1,1,-0.059747992308394136,-3837.375579190803
201,1,1,1,-0.056625398714337395,-3837.758309229513
